Product Name,Brand,Category,MRP,Discounted Price,Rating,Number of Reviews,Product URL
Polo Collar T-shirt,Nautica,Men's T-Shirts,2699.0,890.0,4.0,43,https://www.myntra.com/tshirts/nautica/nautica-men-polo-collar-t-shirt/28603712/buy
Men Polo Collar T-shirt,Powerlook,Men's T-Shirts,1999.0,1139.0,4.0,64,https://www.myntra.com/tshirts/powerlook/powerlook-men-polo-collar-t-shirt/33074982/buy
Solid Lounge T-shirt,Levis,Men's T-Shirts,649.0,434.0,4.3,3800,https://www.myntra.com/lounge-tshirts/levis/levis-men-soft-pure-cotton-round-neck-half-sleeve-tshirt/12027436/buy
Striped Logo Graphic Men Tee,Puma,Men's T-Shirts,1499.0,749.0,3.8,1200,https://www.myntra.com/tshirts/puma/puma-striped-logo-graphic-men-slim-fit-tee/31636884/buy
SS25 Pure Cotton T-Shirt,Powerlook,Men's T-Shirts,2199.0,1187.0,4.5,24,https://www.myntra.com/tshirts/powerlook/powerlook-ss25-colourblocked-polo-collar-pure-cotton-t-shirt/34501342/buy
Cotton Pure Cotton T-shirt Regular Fit,H&M,Men's T-Shirts,,,4.2,16200,https://www.myntra.com/tshirts/h%26m/hm-men-white-solid-cotton-pure-cotton-t-shirt-regular-fit/11468714/buy
Striped Logo Graphic Men Tee,Puma,Men's T-Shirts,1499.0,749.0,4.2,1200,https://www.myntra.com/tshirts/puma/puma-striped-logo-graphic-men-slim-fit-tee/31636890/buy
Polo Collar Slim Fit T-shirt,Louis Philippe Jeans,Men's T-Shirts,1499.0,1109.0,4.3,815,https://www.myntra.com/tshirts/louis+philippe+jeans/louis-philippe-jeans-polo-collar-slim-fit-t-shirt/23083568/buy
Men Pure Cotton T-Shirt,Puma,Men's T-Shirts,999.0,549.0,4.0,494,https://www.myntra.com/tshirts/puma/puma-men-small-logo-brand-logo-embroidered-pure-cotton-short-sleeve-t-shirt/32485692/buy
Men Solid Lounge T-shirt,Jack & Jones,Men's T-Shirts,699.0,384.0,4.1,196,https://www.myntra.com/lounge-tshirts/jack+%26+jones/jack--jones-men-navy-blue-solid-cotton-lounge-t-shirt/18389666/buy
Men Polo Collar Slim Fit T-shirt,THE BEAR HOUSE,Men's T-Shirts,,,3.5,15,https://www.myntra.com/tshirts/the+bear+house/the-bear-house-men-polo-collar-slim-fit-t-shirt/32867142/buy
Solid Lounge T-shirt,Levis,Men's T-Shirts,649.0,402.0,4.4,3600,https://www.myntra.com/lounge-tshirts/levis/levis-men-soft-pure-cotton-round-neck-half-sleeve-tshirt/12027432/buy
Pure Cotton Solid T-Shirt,Puma,Men's T-Shirts,999.0,549.0,4.0,389,https://www.myntra.com/tshirts/puma/puma-men-small-logo-solid-pure-cotton-short-sleeve-t-shirt/32485698/buy
Polo Collar Slim Fit T-shirt,U.S. Polo Assn.,Men's T-Shirts,1499.0,1004.0,4.1,146,https://www.myntra.com/tshirts/u.s.+polo+assn./us-polo-assn-polo-collar-pure-cotton-slim-fit-t-shirt/29337776/buy
Round Neck Lounge T-shirt,Jack & Jones,Men's T-Shirts,699.0,384.0,3.5,41,https://www.myntra.com/lounge-tshirts/jack+%26+jones/jack--jones-men-blue-solid-round-neck-lounge-t-shirt/13478390/buy
Men Lightweight Lounge T-shirt,U.S. Polo Assn.,Men's T-Shirts,699.0,622.0,4.3,1400,https://www.myntra.com/lounge-tshirts/u.s.+polo+assn./us-polo-assn-men-embroidered-logo-pure-cotton-lightweight-lounge-t-shirt/22492582/buy
